transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00096,2026-01-27T22:04:44Z,44.16,grocery,GB,True,False
txn_0000001,card_00226,2026-01-11T23:24:21Z,234.55,fuel,SG,False,False
txn_0000002,card_00351,2026-01-04T02:51:57Z,49.95,pharmacy,SG,False,False
txn_0000003,card_00212,2026-01-12T20:53:55Z,32.69,travel,DE,True,False
txn_0000004,card_00833,2026-01-27T16:40:22Z,62.52,fuel,GB,True,False
txn_0000005,card_00224,2026-01-28T18:31:59Z,11.29,atm_withdrawal,DE,True,False
txn_0000006,card_00231,2026-01-21T00:05:59Z,40.2,pharmacy,AE,True,False
txn_0000007,card_00439,2026-01-23T10:51:00Z,157.46,grocery,US,False,False
txn_0000008,card_00373,2026-01-03T18:34:24Z,45.84,grocery,GB,True,False
txn_0000009,card_00694,2026-01-17T18:04:42Z,65.63,pharmacy,US,True,False
txn_0000010,card_00726,2026-01-01T01:44:05Z,189.7,fuel,US,True,False
txn_0000011,card_00124,2026-01-01T15:16:16Z,216.32,fuel,SG,True,False
txn_0000012,card_00417,2026-01-14T06:21:38Z,143.39,electronics,US,False,False
txn_0000013,card_00023,2026-01-13T01:14:04Z,17.86,atm_withdrawal,US,True,False
txn_0000014,card_00643,2026-01-30T13:26:55Z,128.63,atm_withdrawal,IN,False,False
txn_0000015,card_00193,2026-01-25T14:20:28Z,247.3,travel,US,True,False
txn_0000016,card_00431,2026-01-02T08:02:21Z,26.63,online_retail,AE,True,False
txn_0000017,card_00755,2026-01-09T18:10:01Z,40.9,atm_withdrawal,SG,True,False
txn_0000018,card_00871,2026-01-07T10:48:13Z,46.86,online_retail,DE,True,False
txn_0000019,card_00415,2026-01-12T11:23:39Z,71.56,pharmacy,US,False,False
txn_0000020,card_00227,2026-01-13T15:49:06Z,57.87,pharmacy,SG,False,False
txn_0000021,card_00201,2026-01-19T22:03:51Z,129.57,entertainment,DE,False,False
txn_0000022,card_00658,2026-01-19T16:57:48Z,25.83,entertainment,GB,True,False
txn_0000023,card_00240,2026-01-13T12:02:45Z,18.78,restaurant,AE,False,False
txn_0000024,card_00819,2026-01-06T14:43:36Z,57.29,fuel,IN,True,False
txn_0000025,card_00106,2026-01-18T06:35:05Z,8.8,travel,DE,False,False
txn_0000026,card_00189,2026-01-20T03:44:08Z,36.59,travel,DE,True,False
txn_0000027,card_00602,2026-01-21T05:59:15Z,313.18,entertainment,GB,True,False
txn_0000028,card_00248,2026-01-19T04:58:29Z,36.91,electronics,SG,True,False
txn_0000029,card_00748,2026-01-12T10:04:16Z,371.49,fuel,IN,True,True
txn_0000030,card_00606,2026-01-10T23:49:09Z,99.48,entertainment,AE,False,False
txn_0000031,card_00857,2026-01-03T10:57:42Z,366.55,atm_withdrawal,US,False,False
txn_0000032,card_00584,2026-01-10T13:23:35Z,555.9,atm_withdrawal,SG,False,False
txn_0000033,card_00701,2026-01-15T09:55:13Z,108.8,pharmacy,US,True,False
txn_0000034,card_00135,2026-01-03T03:42:37Z,170.59,grocery,GB,True,False
txn_0000035,card_00833,2026-01-22T05:54:09Z,88.73,fuel,SG,True,False
txn_0000036,card_00017,2026-01-11T03:52:30Z,83.45,entertainment,US,True,False
txn_0000037,card_00016,2026-01-15T07:30:09Z,41.12,fuel,AE,True,False
txn_0000038,card_00292,2026-01-04T12:32:07Z,54.97,entertainment,IN,False,False
txn_0000039,card_00078,2026-01-04T12:13:34Z,131.84,travel,SG,False,False
txn_0000040,card_00871,2026-01-27T10:13:17Z,361.04,travel,DE,False,False
txn_0000041,card_00498,2026-01-01T20:37:59Z,16.68,travel,AE,True,False
txn_0000042,card_00782,2026-01-14T00:15:35Z,12.39,restaurant,AE,True,False
txn_0000043,card_00408,2026-01-09T11:39:02Z,17.5,utilities,GB,False,False
txn_0000044,card_00313,2026-01-11T15:36:11Z,72.52,entertainment,IN,True,False
txn_0000045,card_00420,2026-01-07T21:37:50Z,125.47,pharmacy,SG,True,False
